name,years_experience,technical_score,label
Elizabeth Potts,9.1,53.5,0
Kevin Murray,2.7,79.8,0
Jonathan Collins,0.8,54.1,1
Samantha Becker,6.5,37.3,0
Ashley Sutton,8.5,46.1,0
Rita Serrano,0.5,78.9,0
Jordan Williams,7.9,63.7,0
Krista Cantrell,3.0,50.7,0
David Bautista,9.5,64.0,0
Daniel Russell,7.7,72.4,0
Andrew Cardenas,8.6,65.6,0
Thomas Beck,4.8,46.6,0
Craig Williams,6.7,84.3,0
James Pierce,7.2,40.4,0
Justin Hunt,1.9,61.6,0
Ashley Jackson,2.2,70.5,0
Elizabeth Shannon,1.9,92.9,0
Lisa Tucker,1.3,36.1,1
Cameron Cunningham,8.3,50.8,0
Brenda Bates,8.9,88.9,0
Carolyn Perkins,2.0,58.7,0
Dustin Simmons,2.9,73.2,0
Jose Hansen,6.2,74.6,0
Joseph Johnson,1.6,46.9,1
William Gomez,5.9,79.0,0
Amanda Long,7.6,45.7,0
Stephanie Williams,3.8,90.0,0
Veronica Freeman,2.6,55.1,0
Jennifer Arnold,6.7,34.3,0
Catherine Wright,7.7,42.2,0
Tony West III,6.3,66.0,0
Meredith Jackson,1.7,76.1,0
Gregory Ellis,2.7,82.0,0
Jennifer White,0.1,76.6,0
Haley Huffman,4.8,38.8,0
Janet Brown,7.9,79.6,0
Timothy James,8.6,40.5,0
Thomas Kennedy,6.7,38.9,0
Chase Harrison,0.3,89.3,0
Jason Chan,7.5,44.1,0
John Gonzalez,4.0,55.9,0
Andre Rodriguez,9.6,81.9,0
Noah Phillips,5.4,53.4,0
Brady Gibbs,0.2,65.9,0
Michele Shaffer,5.2,47.1,0
Carl Jimenez,9.5,65.2,0
Elizabeth Nguyen,7.5,41.0,0
Dr. Jessica Marshall,6.6,84.3,0
Jermaine West,0.1,57.2,1
Stephen Watts,5.1,61.2,0
Anthony Harrell,9.2,86.6,0
Kyle Burns,2.7,54.5,0
Kenneth Curry,8.0,38.9,0
Joseph Gomez,1.7,85.5,0
Victoria French,5.8,71.4,0
David Mcbride,7.2,38.3,0
Brittany Reeves,4.8,71.8,0
Tonya Miller DVM,7.9,85.8,0
Mitchell Martin,4.8,55.0,0
Kimberly Johnson,1.3,86.5,0
Scott Gomez,0.4,53.4,1
Joseph Holmes,3.2,31.5,0
William Rogers,4.4,88.6,0
Amanda Peterson,6.3,81.9,0
Michael Jensen,9.4,58.2,0
Michael Hernandez,5.7,34.3,0
Theresa Martinez,7.9,50.0,0
Marcus Price,0.4,92.5,0
Mr. Billy Hughes,3.6,15.6,0
Jesse Klein,2.2,48.9,0
Sherry Williams MD,3.0,54.1,0
Ryan Kelly,0.2,96.2,0
Ian Branch,7.8,50.5,0
William Rodriguez,9.8,64.2,0
Haley Martin,8.0,65.1,0
Lisa Durham,9.1,64.6,0
Deborah Vaughan,7.0,15.6,0
David Morales,5.8,73.7,0
Lisa Parrish,6.2,67.2,0
Dustin Johnson,0.2,46.6,1
Joshua Perkins,5.0,24.2,0
Eric Hanson DVM,2.8,53.3,0
Laurie Stanley,4.8,51.6,0
Robin Cook,5.3,85.2,0
Jason Leblanc,9.5,69.4,0
Jessica Scott,6.8,48.2,0
Erik Baird,3.1,72.6,0
Pamela Williams,7.6,87.6,0
Joshua Lopez,6.5,79.5,0
Tamara Finley,5.1,52.6,0
Gary Edwards,4.2,32.1,0
Sarah Steele,0.4,55.7,1
Nicholas Osborne,0.8,31.0,1
Jose Moran,0.3,53.7,1
Allison Johnson,0.3,37.0,1
Kathleen Bennett,3.9,70.0,0
Elizabeth Carter,8.2,45.8,0
Crystal Hatfield,2.3,51.6,0
Michelle Pearson,1.0,70.4,0
Riley Matthews,1.0,62.5,0
